classifier,C,alpha,kernel,max_depth,n_estimators,n_neighbors,gamma,objective,elapsed_sec
Logistic,6.525263443832206,nan,NA,nan,nan,nan,nan,0.7179487179487178,565.8481931686401
SVC,1.0634870780049548,nan,rbf,nan,nan,nan,0.008771858686026267,0.5897435897435898,572.7806830406189
SVC,9.686895356704312,nan,poly,nan,nan,nan,1.721082976249273,0.6666666666666667,620.0950291156769
SVC,6.183097889281841,nan,poly,nan,nan,nan,0.06485857473112765,0.5909090909090909,625.8854191303253
SVC,7.028597170990035,nan,linear,nan,nan,nan,nan,0.6153846153846154,631.3622069358826
Logistic,5.8718040202771755,nan,NA,nan,nan,nan,nan,0.7272727272727272,646.4057071208954
SVC,7.835312915765641,nan,poly,nan,nan,nan,2.1954813238919972,0.676056338028169,717.1229660511017
SVC,0.011469903344309411,nan,rbf,nan,nan,nan,4.316886724337407,0.6984126984126984,723.9041662216187
SVC,0.011348621508935761,nan,rbf,nan,nan,nan,0.013007296785426585,0.0,731.9146280288696
SVC,2.3895373108251183,nan,rbf,nan,nan,nan,0.000336117188051318,0.5043478260869565,739.5540931224823
SVC,8.296156353766,nan,linear,nan,nan,nan,nan,0.6153846153846154,744.7957429885864
SVC,5.579682972373428,nan,linear,nan,nan,nan,nan,0.6153846153846154,750.0970113277435
SVC,0.01207821673058544,nan,rbf,nan,nan,nan,0.5111347419077038,0.6341463414634146,756.7935900688171
SVC,0.7392778867760057,nan,poly,nan,nan,nan,0.03593666429649885,0.0,763.4006071090698
SVC,0.3983799141407289,nan,poly,nan,nan,nan,0.6378292254699565,0.6829268292682927,768.8843252658844
SVC,0.038367940755707965,nan,poly,nan,nan,nan,0.07624329504978515,0.0,775.621639251709
RandomForest,nan,nan,NA,2,6,nan,nan,0.6292134831460675,784.4791769981384
SVC,6.097929797445367,nan,rbf,nan,nan,nan,0.043495524046686856,0.6969696969696969,790.6029560565948
SVC,0.01519706075568431,nan,poly,nan,nan,nan,0.6047439887568132,0.6575342465753424,796.0125880241394
SVC,0.0384335375811317,nan,rbf,nan,nan,nan,0.05705166505767802,0.5043478260869565,803.0219340324402
XGBoost,nan,nan,NA,2,nan,nan,0.00011985661384340067,0.8,812.610897064209
SVC,0.03808470330234809,nan,poly,nan,nan,nan,1.5916565343791584,0.6666666666666666,818.2487270832062
XGBoost,nan,nan,NA,19,nan,nan,2.8712724343295216e-05,0.8,827.8012170791626
SVC,0.009266191469647285,nan,poly,nan,nan,nan,0.5197725705933983,0.5909090909090909,833.6966671943665
SVC,9.302418601800879,nan,poly,nan,nan,nan,5.5766794837405205e-05,0.0,840.3726179599762
SVC,0.004265042213937772,nan,poly,nan,nan,nan,1.6545144930957307,0.676056338028169,845.7807080745697
SVC,0.0008573696387413278,nan,rbf,nan,nan,nan,2.0631785272804932,0.0,853.7956721782684
SVC,8.099233465877171,nan,poly,nan,nan,nan,0.057620132352908394,0.5909090909090909,859.5360670089722
SVC,0.1962247647876266,nan,sigmoid,nan,nan,nan,0.04549263420392389,0.5471698113207547,865.8679730892181
SVC,0.006773506370692669,nan,poly,nan,nan,nan,2.68302612269993,0.6829268292682927,871.452445268631
Logistic,9.281794425846195,nan,NA,nan,nan,nan,nan,0.7179487179487178,886.2815511226654
SVC,8.03531028054092,nan,rbf,nan,nan,nan,8.70696039451063e-05,0.5043478260869565,893.9652540683746
SVC,0.0028132061452630676,nan,rbf,nan,nan,nan,1.9652821174064974,0.5897435897435898,901.7239670753479
XGBoost,nan,nan,NA,2,nan,nan,3.2707381997559133,0.8,911.2903029918671
SVC,0.002986290004644743,nan,poly,nan,nan,nan,6.39160334162406,0.6666666666666666,918.3669650554657
